48_163209085114 12000
52_163209085114 22000
56_249121933301 10
58_249121933301 16
71_163209085114 8000
71_249122129931 8000
75_163209085114 8000
75_249121933305 8000
79_163209085114 16000
84_377970952181 10
86_163209085114 13000
88_377970952181 16
101_163209085114 8000
101_377971148811 8000
105_163209085114 8000
105_377970952185 8000
109_163209085114 16000
151_163209085114 144000
945_227633922251 12000
945_249121933305 12000
949_227633922251 12000
949_249121933305 12000
956_163209085114 972000
956_4015896801057 108000
957_227633922251 12000
959_163209085114 324000
959_4015896801057 324000
960_163209085114 108000
961_227633922251 12000
963_163209085114 324000
963_4015896801057 324000
964_163209085114 108000
970_163209085114 432000
980_163209085114 432000
1042_163209085114 18000
1045_163209085114 38115
1046_163209085114 38115
1053_163209085114 38415
1054_163209085114 38415
1061_163209085114 37800
1062_163209085114 37800
1069_163209085114 38115
1070_163209085114 38115
1075_163209085114 18000
1078_163209085114 38505
1079_163209085114 38505
1086_163209085114 37740
1087_163209085114 37740
1094_163209085114 38235
1095_163209085114 38235
1102_163209085114 38805
1103_163209085114 38805
1108_163209085114 18000
1111_163209085114 38115
1112_163209085114 38115
1119_163209085114 38505
1120_163209085114 38505
1127_163209085114 37890
1128_163209085114 37890
1135_163209085114 38535
1136_163209085114 38535
1141_163209085114 18000
1144_163209085114 38340
1145_163209085114 38340
1152_163209085114 38280
1153_163209085114 38280
1160_163209085114 38475
1161_163209085114 38475
1168_163209085114 37770
1169_163209085114 37770
1178_163209085114 480000
1180_163209085114 2160000
1181_163209085114 360000
1184_163209085114 360000
1187_163209085114 360000
1190_163209085114 360000
1193_163209085114 360000
1196_163209085114 360000
1197_163209085114 360000
1211_163209085114 720
1228_227633922251 40000
1228_249121933305 40000
1248_227633922251 40000
1248_249121933305 40000
1267_227633922251 40000
1269_163209085114 1800000
1269_5179758940025 1800000
1278_227633922251 40000
1280_163209085114 3240000
1280_5179758940025 360000
1288_163209085114 1439280
1291_163209085114 1440000
1292_163209085114 360000
1292_163210658100 720000
1298_163209085114 360000
1298_163210789184 360000
1304_227633922251 120000
1304_249121933305 120000
1308_227633922251 120000
1308_249121933305 120000
1316_227633922251 120000
1316_249121933305 120000
1322_227633922251 120000
1322_249122129931 120000
1325_227633922251 120000
1326_163209085114 2160000
1326_5583510050760 1080000
1327_163209085114 1080000
1327_163210789184 2160000
1330_227633922251 120000
1332_163209085114 9720000
1334_163209085114 6480000
1334_5583510050760 2160000
1335_227633922251 240000
1337_163209085114 9720000
1339_163209085114 8640000
1350_227633922251 120000
1350_249121933305 120000
1354_227633922251 120000
1354_249121933305 120000
1362_227633922251 120000
1362_249121933305 120000
1368_227633922251 120000
1368_249122129931 120000
1374_227633922251 120000
1375_163210789184 2160000
